no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;drinks;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
102;Holycow! Kebon Jeruk;West Jakarta;Kebon Jeruk;Owned place;Buddy's Special;99000; 4.6 ;4091; 4.5 ;510;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink etc.;seafood;no;no;yes;yes;no;yes;yes;no
103;Meaters Steak & Ribs;West Jakarta;Cengkareng;Ruko Citra Garden 6;Honey Baby Back Ribs Large;149000; 4.4 ;563; 4.1 ;238;Local;sirloin, tenderloin, ribs, wagyu;steak, grilled, honey, teriyaki;fish and chips;nachos, fries;knuckle, pasta, fries;no;beer, milkshakes, juice, orange, soft drink, mineral water, chocolate, tea;pork, seafood;yes;no;yes;no;beer;yes;yes;no
104;Djakarta's Steak;West Jakarta;Tanjung Duren;Owned place;Triple Sirloin;25000; 4.2 ;1912; 3.6 ;255;Local;sirloin, tenderloin, rib eye, ribs;steak, schnitzel;dory, snapper, marlin, tuna, gindara, salmon;fries, garlic bread, sandwich;pasta, fried rice;sweet drinks;mocktail, juice, milkshakes, pitcher, mineral water, soft drink, coffee, tea;seafood;yes;no;no;yes;no;yes;yes;no
105;Gandy Steak House;West Jakarta;Green Ville;Ruko Green Garden;Grilled Australian Lamb Leg;129000; 0.0 ;0; 3.3 ;68;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;beer, wine, alcohol, coffee, iced coffee, iced tea, juice, milkshakes, water, mocktails;seafood, lamb;no;no;no;no;cocktail, wine, beer;yes;yes;no
106;Dunia Steak;West Jakarta;Grogol;Owned place;DS Steak Platter;63500; 4.3 ;1093; 2.9 ;49;Local;sirloin, tenderloin, rib eye;steak, cordon bleu, parmigiana, wings;dory, tuna;salad;pasta, noodle, fried rice, fries;sweet drinks;juice, float, coffee, tea;seafood;yes;yes;no;no;no;yes;no;no
107;Obonk Steak & Ribs;West Jakarta;Palmerah;Owned place;Chicken Cheese HP;35000; 4.3 ;956; 2.8 ;43;Local;sirloin, tenderloin, ribs, t-bone;steak, grilled, barbeque;calamary;no;fries, pasta;sweet drinks;juice, float, milkshakes, coffee, tea;seafood;yes;no;no;no;no;yes;no;no
108;Waroeng Steak & Shake;West Jakarta;Grogol;Owned place;Rib Eye New Zealand;80000; 4.2 ;5094; 2.4 ;159;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;fish steak, grilled;no;chicken rice;sweet drinks;milkshakes, orange, iced tea, chocolate, lime, tea, mineral water;seafood;yes;no;yes;no;no;yes;no;no
109;SOULSPIN;West Jakarta;Cengkareng;Owned place;Full Rack BBQ Baby Back Ribs;389000; 4.5 ;286; 3.9 ;62;Western;sirloin, striploin, tenderloin, rib eye, ribs, t-bone;fries;salmon, fish and chips;pasta;fries, rice plate, fried rice, pasta;ice cream, crepes, waffle, sweet drinks;soju, beer, wine, alcohol, smooties, frappe, coffee, tea;seafood, pork;yes;yes;no;yes;wine, beer, sprits, soju, liquor etc;yes;yes;private room, live entertainment, bar
110;Pepperloin Steakhouse;North Jakarta;Pantai Indah Kapuk;Ruko The Metro;Sanchoku Wagyu Rib Eye 200gr;210000; 4.5 ;554; 4.2 ;259;Japanese;sirloin, tenderloin, rib eye, wagyu, hokubee;steak, wings;salmon;fries;pasta, garlic bread;ice cream;soft drink, coffee, tea, mineral water;seafood;yes;no;no;no;no;yes;yes;no
111;Holycow! Pantai Indah Kapuk;North Jakarta;Pantai Indah Kapuk;Ruko Gold Coast;Australian Prime Big Bite Sirloin;170000; 4.5 ;1098; 4.2 ;181;Local Westerned;sirloin, tenderloin, rib eye, wagyu, hokubee;steak;salmon;no;meatballs, salmon, fries etc;gelato, cake, pancake;lime, soda, mango latte, milkshakes, matcha, cappucino, soft drink etc.;seafood;yes;no;no;no;no;yes;yes;no
112;Street Steak;North Jakarta;Kelapa Gading;Owned place;Park Lane Steak 200gr;129000; 4.5 ;985; 4.5 ;934;Western;sirloin, tenderloin, rib eye, wagyu, tomahawk;schnitzel, grilled, cordon bleu;salon, dory, fish and chips;salad, fries, pasta;no;ice cream, banana;mocktails, milo, float, juice, tea;seafood;yes;no;no;no;no;yes;no;private room, prayer room
113;B'Steak Grill & Pancake;North Jakarta;Kelapa Gading;Mall Artha Gading;Victorian Tenderloin;268500; 4.6 ;1148; 4.3 ;263;Western;brisket, tenderloin, striploin, rib eye, mignon, ribs, tomahawk, t-bone;grilled, schnitzel, cordon bleu, steak, florentine etc;fish and chips, dory, salmon, snapper;fries, soup, salad, taco, quesadilas;sausage, omelette, burger, pasta, pie etc;pancake, ice cream, banana, toast, sweet drinks;beer, juice, milkshakes, mocktail, coffee, tea;seafood, lamb;yes;yes;no;no;beer;yes;yes;no
114;Meaters Steak & Ribs;North Jakarta;Pantai Indah Kapuk;Ruko Elang Laut;Honey Baby Back Ribs Regular;79000; 4.3 ;505; 4.1 ;239;Local;sirloin, tenderloin, ribs, wagyu;steak, grilled, honey, teriyaki;fish and chips;nachos, fries;knuckle, pasta, fries;no;beer, milkshakes, juice, orange, soft drink, mineral water, chocolate, tea;pork, seafood;yes;no;no;no;beer;yes;yes;no
115;Warung Wagyu;North Jakarta;Sunter;Food Market Sunter;Rib Eye Australia;95000; 4.5 ;108; 3.7 ;24;Local;sirloin, tenderloin, rib eye;karaage, schnitzel, geprek;no;no;rice bowl;no;badak;no;yes;yes;no;yes;no;yes;no;live entertainment
116;Joni Steak;North Jakarta;Kelapa Gading;Owned place;Secondary Cut Wagyu 200gr;90000; 4.5 ;3102; 3.9 ;231;Local;sirloin, rib eye, wagyu;steak, schnitzel, burger, cordon bleu etc;prawn, salmon, fish and chips;pasta;pizza, fries;banana split, cream brulee;milkshakes, squash, coconut, cocktail, juice, iced coffee, blackcurrant, tea, lemon, tebu;seafood;yes;no;yes;no;no;no;yes;no
117;BarBarRibs;North Jakarta;Kelapa Gading;Mahaka Square;Volcano and The Ring of Fire;299000; 4.4 ;86; 3.8 ;43;Western;ribs;lolypops;no;salad, fries, pasta;burger, taco, pasta, knuckle etc;sweet drinks, dessert of the day;beer, frappe, latte, chocolate, coffee, tea;pork;yes;no;no;no;beer;no;yes;kids friendly
118;Alter Five Beer & Restaurant;North Jakarta;Mangga Dua;Mangga Dua Square;Wagyu Rib Eye Steak;330000; 5.0 ;6; 3.7 ;14;Western;sirloin, tenderloin, rib eye, wagyu, wellington;roasted, cordon bleu, wings, stuffed, piccata etc;dory, salmon;no;fried rice, fries, hamburg etc;cheese tart, apple pie;beer;seafood, lamb;yes;no;yes;yes;beer;yes;yes;no
119;Abuba Steak;North Jakarta;Kelapa Gading;Owned place;New Zealand Lamb Chop;95000; 4.4 ;2666; 3.9 ;275;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;no;yes;yes;no;no;yes;yes;no
120;Kapten Steak;North Jakarta;Sunter;Ruko Taman Nyiur;Kolonel Burger Steak;68000; 4.3 ;626; 3.8 ;117;Local;sirloin, tenderloin, rib eye;steak, spiral, katsu, grilled, teriyaki, cordon bleu;salmon, gindara, fish and chips;salad, shumai, rujak, nachos, croissant, fries;rice plate, fried rice, beehoon, pasta, sandwich;ice cream, sweet drinks;beer, chocolate, soft drinks, squash;seafood, lamb;no;no;yes;no;beer;yes;yes;no
121;Steak 21 Buffet;North Jakarta;Kelapa Gading;Mall Kelapa Gading;Paket C Supreme;368000; 4.2 ;45; 3.7 ;10;Western;sirloin, tenderloin, rib eye, ribs, tongue;steak;salmon, shrimp;no;no;no;milo, soft drink, coffee, tea;seafood, lamb;no;no;no;no;no;no;yes;buffet
122;Aya Steak;North Jakarta;Sunter;Owned place;Rib Eye Large;50000; 4.3 ;485; 3.4 ;19;Local;sirloin, tenderloin, rib eye;steak;salmon, fish and chips;pasta;rice plate, burger, chicken wings, fries etc;es sop buah, es kacang merah, es jelly;juice, squash, coffee, tea, mineral water, aloe vera;seafood, lamb;yes;yes;no;no;no;no;yes;no
123;Steak Gunting;North Jakarta;Pantai Indah Kapuk;Ruko Cordoba;Wagyu OZ;199000; 4.4 ;1153; 3.5 ;305;Local Westerned;sirloin, rib eye, wagyu;steak;dory fish and chips;no;shumai;no;smooties, juice, soft drink, mineral water, coffee, tea;seafood;yes;yes;no;no;no;no;yes;no
